dataset_tag,video_id,duration_min,speaking_words_count,avg_speaking_speed_wpm,scenes_count,avg_scene_change_per_min,average_percentage_viewed
newcastle_mech1750_lecture_level1_agregg_2025,26dBMUlaHJ8,4.26,838,196.9,0,0.0,70.57
newcastle_mech1750_lecture_level1_agregg_2025,xFNNEYclvis,11.94,2395,200.52,9,0.75,60.9
newcastle_mech1750_lecture_level1_agregg_2025,5zEhEwfIJOk,5.69,1220,214.24,3,0.53,73.43
newcastle_mech1750_lecture_level1_agregg_2025,6vULH16v9FE,5.52,1175,212.73,6,1.09,73.94
newcastle_mech1750_lecture_level1_agregg_2025,6lS4rYzkNDg,5.38,1099,204.26,5,0.93,73.13
newcastle_mech1750_lecture_level1_agregg_2025,HKSdW1aHM0w,6.61,1402,211.96,21,3.17,73.54
newcastle_mech1750_lecture_level1_agregg_2025,lTdv3rEQz5E,1.72,344,199.81,3,1.74,48.99
newcastle_mech1750_lecture_level1_agregg_2025,VPm23vOkp-U,4.05,778,192.25,9,2.22,72.8
newcastle_mech1750_lecture_level1_agregg_2025,2PP_a-tDJAY,2.96,636,215.06,11,3.72,74.48
newcastle_mech1750_lecture_level1_agregg_2025,l60ktEyuXIQ,8.65,1867,215.84,34,3.93,67.81
newcastle_mech1750_lecture_level1_agregg_2025,0GPtRiEc5gY,6.69,1574,235.38,45,6.73,69.38
newcastle_mech1750_lecture_level1_agregg_2025,nsnBsUlj-_I,6.56,1628,248.2,79,12.04,67.44
newcastle_mech1750_lecture_level1_agregg_2025,W5CTGEj051E,2.96,662,223.38,21,7.09,75.28
